"type","period","household","individual","adm0","adm1_dep","adm2_dep","reason","adm1_arr","adm2_arr","ADM2_ID","adm3_arr","ADM3_ID2","adm0_arr"
"idp","in 2014",47,350,"Nigeria","BORNO","DAMBOA","Insurgency","ADAMAWA","LAMURDE","NGA002009","LAFIYA","NGA002009903","Nigeria"
"idp","in 2014",34,189,"Nigeria","ADAMAWA","LAMURDE","Insurgency","ADAMAWA","LAMURDE","NGA002009","LAMURDE","NGA002009904","Nigeria"
"idp","in 2014",43,577,"Nigeria","ADAMAWA","LAMURDE","Natural Disaster","ADAMAWA","LAMURDE","NGA002009","LAMURDE","NGA002009904","Nigeria"
"idp","in 2014",112,839,"Nigeria","ADAMAWA","LAMURDE","Natural Disaster","ADAMAWA","LAMURDE","NGA002009","NGBAKOWO","NGA002009905","Nigeria"
"idp","in 2014",97,632,"Nigeria","ADAMAWA","LAMURDE","Natural Disaster","ADAMAWA","LAMURDE","NGA002009","OPALO","NGA002009907","Nigeria"
"idp","in 2014",45,352,"Nigeria","ADAMAWA","LAMURDE","Natural Disaster","ADAMAWA","LAMURDE","NGA002009","RIGANGE","NGA002009908","Nigeria"
"idp","in 2015",14,91,"Nigeria","ADAMAWA","LAMURDE","Natural Disaster","ADAMAWA","LAMURDE","NGA002009","SUWA","NGA002009909","Nigeria"
"idp","in 2014",30,274,"Nigeria","ADAMAWA","LAMURDE","Natural Disaster","ADAMAWA","LAMURDE","NGA002009","WADUKU","NGA002009910","Nigeria"
"idp","in 2015",276,1656,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","MADAGALI","NGA002010","BABEL","NGA002010001","Nigeria"
"idp","in 2015",500,3002,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","MADAGALI","NGA002010","GULAK","NGA002010003","Nigeria"
"idp","in 2015",524,3144,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","MADAGALI","NGA002010","MADAGALI","NGA002010006","Nigeria"
"idp","in 2015",498,2490,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","MADAGALI","NGA002010","SHELMI / SUKUR/ VAPURA","NGA002010008","Nigeria"
"idp","in 2015",272,2128,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","MADAGALI","NGA002010","WULA","NGA002010010","Nigeria"
"idp","in 2014",61,735,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","MAIHA","NGA002011","BELEL","NGA002011101","Nigeria"
"idp","in 2014",83,1320,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","MAIHA","NGA002011","HUMBUTUDI","NGA002011102","Nigeria"
"idp","in 2014",127,1310,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","MAIHA","NGA002011","KONKOL","NGA002011103","Nigeria"
"idp","in 2014",103,1080,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","MAIHA","NGA002011","MAIHA GARI","NGA002011104","Nigeria"
"idp","in 2014",103,1000,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","MAIHA","NGA002011","MANJEKIN","NGA002011105","Nigeria"
"idp","in 2014",184,2225,"Nigeria","BORNO","DAMBOA","Insurgency","ADAMAWA","MAIHA","NGA002011","MAYONGULI","NGA002011106","Nigeria"
"idp","in 2014",49,525,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","MAIHA","NGA002011","PAKKA","NGA002011107","Nigeria"
"idp","in 2014",82,1952,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","MAIHA","NGA002011","SORAU 'A'","NGA002011108","Nigeria"
"idp","in 2014",93,1005,"Nigeria","ADAMAWA","MUBI SOUTH","Insurgency","ADAMAWA","MAIHA","NGA002011","SORAU 'B'","NGA002011109","Nigeria"
"idp","in 2015",97,1025,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","MAIHA","NGA002011","TAMBAJAM","NGA002011110","Nigeria"
"idp","in 2014",14,64,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","MAYO - BELWA","NGA00Before 2014","GENGLE","NGA00Before 2014204","Nigeria"
"idp","in 2014",91,617,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","MAYO - BELWA","NGA00Before 2014","MAYO-BELWA","NGA00Before 2014206","Nigeria"
"idp","in 2014",6,19,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","MAYO - BELWA","NGA00Before 2014","MAYO FARANG","NGA00Before 2014207","Nigeria"
"idp","in 2014",23,126,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","MAYO - BELWA","NGA00Before 2014","NASSARAWO JERENG","NGA00Before 2014208","Nigeria"
"idp","in 2014",9,66,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","MAYO - BELWA","NGA00Before 2014","NDIKONG","NGA00Before 2014209","Nigeria"
"idp","in 2014",22,147,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","MAYO - BELWA","NGA00Before 2014","TOLA","NGA00Before 2014211","Nigeria"
"idp","in 2015",647,4545,"Nigeria","ADAMAWA","TOUNGO","Insurgency","ADAMAWA","MICHIKA","NGA002013","BAZZA MARGI","NGA002013301","Nigeria"
"idp","in 2015",135,939,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","MICHIKA","NGA002013","FUTUDOU / FUTULES","NGA002013302","Nigeria"
"idp","in 2015",349,2442,"Nigeria","ADAMAWA","DEMSA","Insurgency","ADAMAWA","MICHIKA","NGA002013","GARTA / GHUNCHI","NGA002013303","Nigeria"
"idp","in 2015",314,2450,"Nigeria","ADAMAWA","GANYE","Insurgency","ADAMAWA","MICHIKA","NGA002013","JIGALAMBU","NGA002013304","Nigeria"
"idp","in 2015",826,6300,"Nigeria","ADAMAWA","YOLA SOUTH","Insurgency","ADAMAWA","MICHIKA","NGA002013","MADZI","NGA002013305","Nigeria"
"idp","in 2015",654,4250,"Nigeria","ADAMAWA","LAMURDE","Insurgency","ADAMAWA","MICHIKA","NGA002013","MICHIKA  I","NGA002013306","Nigeria"
"idp","in 2014",474,3600,"Nigeria","ADAMAWA","YOLA SOUTH","Insurgency","ADAMAWA","MICHIKA","NGA002013","MICHIKA  II","NGA002013307","Nigeria"
"idp","in 2015",408,2857,"Nigeria","ADAMAWA","YOLA SOUTH","Insurgency","ADAMAWA","MICHIKA","NGA002013","MINKISI/ WURO NGIKI","NGA002013308","Nigeria"
"idp","in 2015",338,2365,"Nigeria","ADAMAWA","YOLA SOUTH","Insurgency","ADAMAWA","MICHIKA","NGA002013","MODA / DLAKA / GHENJUWA","NGA002013309","Nigeria"
"idp","in 2015",235,1384,"Nigeria","TARABA","ZING","Insurgency","ADAMAWA","MICHIKA","NGA002013","SUKUMU / TILLIJO","NGA002013313","Nigeria"
"idp","in 2015",511,3550,"Nigeria","ADAMAWA","GOMBI","Insurgency","ADAMAWA","MICHIKA","NGA002013","TUMBARA / NGABILI","NGA002013314","Nigeria"
"idp","in 2015",208,2412,"Nigeria","ADAMAWA","LAMURDE","Insurgency","ADAMAWA","MICHIKA","NGA002013","VI / BOKA","NGA002013315","Nigeria"
"idp","in 2014",76,585,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","MUBI NORTH","NGA002014","BAHULI","NGA002014401","Nigeria"
"idp","in 2014",50,431,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","MUBI NORTH","NGA002014","BETSO","NGA002014402","Nigeria"
"idp","in 2014",44,325,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","MUBI NORTH","NGA002014","DIGIL","NGA002014403","Nigeria"
"idp","in 2014",127,910,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","MUBI NORTH","NGA002014","KOLERE","NGA002014404","Nigeria"
"idp","in 2014",147,1073,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","MUBI NORTH","NGA002014","LOKUWA","NGA002014405","Nigeria"
"idp","in 2014",60,512,"Nigeria","BORNO","ASKIRA / UBA","Insurgency","ADAMAWA","MUBI NORTH","NGA002014","MAYO BANI","NGA002014406","Nigeria"
"idp","in 2014",61,486,"Nigeria","ADAMAWA","MUBI NORTH","Insurgency","ADAMAWA","MUBI NORTH","NGA002014","MIJILU","NGA002014407","Nigeria"
"idp","in 2014",69,553,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","MUBI NORTH","NGA002014","MUCHALLA","NGA002014408","Nigeria"
"idp","in 2014",71,608,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","MUBI NORTH","NGA002014","SABON LAYI","NGA002014409","Nigeria"
"idp","in 2014",89,673,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","MUBI NORTH","NGA002014","VIMTIM","NGA002014410","Nigeria"
"idp","in 2014",99,1003,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","MUBI NORTH","NGA002014","YELWA","NGA002014411","Nigeria"
"idp","in 2014",208,1492,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","MUBI SOUTH","NGA00in 2015","DIRBISHI/GANDIRA","NGA00in 2015501","Nigeria"
"idp","in 2014",110,806,"Nigeria","BORNO","DAMBOA","Insurgency","ADAMAWA","MUBI SOUTH","NGA00in 2015","DUVU/ CHABA/ GIRBURUM","NGA00in 2015502","Nigeria"
"idp","in 2014",155,930,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","MUBI SOUTH","NGA00in 2015","GELLA","NGA00in 2015503","Nigeria"
"idp","in 2014",175,861,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","MUBI SOUTH","NGA00in 2015","GUDE","NGA00in 2015504","Nigeria"
"idp","in 2014",72,542,"Nigeria","ADAMAWA","MUBI SOUTH","Insurgency","ADAMAWA","MUBI SOUTH","NGA00in 2015","KWAJA","NGA00in 2015505","Nigeria"
"idp","in 2014",246,2026,"Nigeria","ADAMAWA","MUBI SOUTH","Insurgency","ADAMAWA","MUBI SOUTH","NGA00in 2015","LAMORDE","NGA00in 2015506","Nigeria"
"idp","in 2014",237,1601,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","MUBI SOUTH","NGA00in 2015","MUJARA","NGA00in 2015507","Nigeria"
"idp","in 2014",47,322,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","MUBI SOUTH","NGA00in 2015","MUGULBU/ YADAFA","NGA00in 2015508","Nigeria"
"idp","in 2014",133,890,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","MUBI SOUTH","NGA00in 2015","NASSARAWO","NGA00in 2015509","Nigeria"
"idp","in 2014",131,878,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","MUBI SOUTH","NGA00in 2015","NDUKU","NGA00in 2015510","Nigeria"
"idp","in 2014",32,231,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","NUMAN","NGA002016","GAMADIO","NGA002016603","Nigeria"
"idp","in 2014",26,218,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","NUMAN","NGA002016","NUMAN I","NGA002016606","Nigeria"
"idp","in 2014",22,165,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","NUMAN","NGA002016","NUMAN II","NGA002016607","Nigeria"
"idp","in 2014",14,126,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","NUMAN","NGA002016","NUMAN III","NGA002016608","Nigeria"
"idp","in 2014",19,156,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","NUMAN","NGA002016","SABON PEGI","NGA002016609","Nigeria"
"idp","in 2014",32,237,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","SHELLENG","NGA002017","BODWAI","NGA002017702","Nigeria"
"idp","in 2014",38,313,"Nigeria","ADAMAWA","MADAGALI","Natural Disaster","ADAMAWA","SHELLENG","NGA002017","BODWAI","NGA002017702","Nigeria"
"idp","in 2014",26,119,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","SHELLENG","NGA002017","GUNDO","NGA002017703","Nigeria"
"idp","in 2014",40,174,"Nigeria","ADAMAWA","MICHIKA","Natural Disaster","ADAMAWA","SHELLENG","NGA002017","GUNDO","NGA002017703","Nigeria"
"idp","in 2015",33,201,"Nigeria","ADAMAWA","SHELLENG","Natural Disaster","ADAMAWA","SHELLENG","NGA002017","GWAPOPOLOK","NGA002017704","Nigeria"
"idp","in 2014",17,95,"Nigeria","ADAMAWA","SHELLENG","Natural Disaster","ADAMAWA","SHELLENG","NGA002017","JUMBUL","NGA002017705","Nigeria"
"idp","in 2014",32,254,"Nigeria","ADAMAWA","SHELLENG","Insurgency","ADAMAWA","SHELLENG","NGA002017","JUMBUL","NGA002017705","Nigeria"
"idp","in 2014",26,197,"Nigeria","ADAMAWA","MADAGALI","Natural Disaster","ADAMAWA","SHELLENG","NGA002017","KETEMBERE","NGA002017706","Nigeria"
"idp","in 2014",31,176,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","SHELLENG","NGA002017","KETEMBERE","NGA002017706","Nigeria"
"idp","in 2014",44,280,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","SHELLENG","NGA002017","KIRI","NGA002017707","Nigeria"
"idp","in 2014",24,201,"Nigeria","ADAMAWA","MUBI NORTH","Insurgency","ADAMAWA","SHELLENG","NGA002017","SHELLENG","NGA002017709","Nigeria"
"idp","in 2014",38,235,"Nigeria","ADAMAWA","MUBI NORTH","Natural Disaster","ADAMAWA","SHELLENG","NGA002017","SHELLENG","NGA002017709","Nigeria"
"idp","in 2014",14,162,"Nigeria","ADAMAWA","LAMURDE","Natural Disaster","ADAMAWA","SHELLENG","NGA002017","TALLUM","NGA002017710","Nigeria"
"idp","in 2014",26,228,"Nigeria","ADAMAWA","LAMURDE","Insurgency","ADAMAWA","SHELLENG","NGA002017","TALLUM","NGA002017710","Nigeria"
"idp","in 2014",13,100,"Nigeria","ADAMAWA","MUBI NORTH","Insurgency","ADAMAWA","SONG","NGA002018","KILANGE FUNA","NGA002018804","Nigeria"
"idp","in 2014",6,28,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","SONG","NGA002018","KILANGE HIRNA","NGA002018805","Nigeria"
"idp","in 2014",19,131,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","SONG","NGA002018","SIGIRE","NGA002018806","Nigeria"
"idp","in 2014",40,275,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","SONG","NGA002018","SONG GARI","NGA002018808","Nigeria"
"idp","in 2014",8,41,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","SONG","NGA002018","SONG WAJE","NGA002018809","Nigeria"
"idp","in 2014",23,148,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","TOUNGO","NGA002019","TOUNGO I","NGA002019908","Nigeria"
"idp","in 2014",9,67,"Nigeria","BORNO","DAMBOA","Insurgency","ADAMAWA","TOUNGO","NGA002019","TOUNGO II","NGA002019909","Nigeria"
"idp","in 2014",38,222,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","TOUNGO","NGA002019","TOUNGO III","NGA002019910","Nigeria"
"idp","in 2014",71,750,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","YOLA NORTH","NGA002020","ALKALAWA","NGA002020001","Nigeria"
"idp","in 2014",154,1007,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","YOLA NORTH","NGA002020","AJIYA","NGA002020002","Nigeria"
"idp","in 2014",188,1320,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","YOLA NORTH","NGA002020","DOUBELI","NGA002020003","Nigeria"
"idp","in 2014",210,1250,"Nigeria","BORNO","ASKIRA / UBA","Insurgency","ADAMAWA","YOLA NORTH","NGA002020","GWADABAWA","NGA002020004","Nigeria"
"idp","in 2014",185,1119,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","YOLA NORTH","NGA002020","JAMBUTU","NGA002020005","Nigeria"
"idp","in 2014",159,1015,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","YOLA NORTH","NGA002020","KARENA","NGA002020006","Nigeria"
"idp","in 2014",101,802,"Nigeria","ADAMAWA","MUBI NORTH","Insurgency","ADAMAWA","YOLA NORTH","NGA002020","LIMAWA","NGA002020007","Nigeria"
"idp","in 2014",242,1657,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","YOLA NORTH","NGA002020","LUGGERE","NGA002020008","Nigeria"
"idp","in 2014",83,712,"Nigeria","ADAMAWA","MUBI NORTH","Insurgency","ADAMAWA","YOLA NORTH","NGA002020","NASSARAWO","NGA002020009","Nigeria"
"idp","in 2014",148,905,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","YOLA NORTH","NGA002020","RUMDE","NGA002020010","Nigeria"
"idp","in 2014",209,1553,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","YOLA NORTH","NGA002020","YELWA","NGA002020011","Nigeria"
"idp","in 2014",83,515,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","YOLA SOUTH","NGA002021","ADARAWO","NGA002021101","Nigeria"
